Name	Weapon type	Weapon category	Weapon group	Trait	Damage	Hands	Range	Reload	Bulk	Price	Level
8-Round Magazine	Ranged	Ammunition	Firearm						L	2 sp	0
Adze	Melee	Martial	Axe	"Forceful, Grippli, Sweep"	1d10 S	2			2	1 gp	0
Air Repeater	Ranged	Simple	Firearm	"Agile, Repeating, Uncommon"	1d4 P	1	30 ft.	0	L	5 gp	0
Aklys	Melee	Advanced	Club	"Ranged Trip, Tethered, Thrown 20 feet, Trip, Uncommon"	1d6 B	1			1	5 gp	0
Alchemical Bomb	Ranged	Martial	Bomb		Varies	1	20 ft.		L	(Varies)	0
Alchemical Crossbow	Ranged	Simple	Bow	"Alchemical, Uncommon"	1d8 P	2	30 ft.	1	1	25 gp	0
Aldori Dueling Sword	Melee	Advanced	Sword	"Finesse, Uncommon, Versatile P"	1d8 S	1			1	2 gp	1
Arbalest	Ranged	Martial	Crossbow	"Backstabber, Backstabber"	1d10 P	2	110 ft.	1	2	8 gp	0
Arquebus	Ranged	Martial	Firearm	"Concussive, Fatal d12, Kickback, Uncommon"	1d8 P	2	150 ft.	1	2	10 gp	0
Arrows	Ranged	Ammunition	Bow						L	1 sp (price for 10)	0
Asp Coil	Melee	Martial	Sword	"Reach, Uncommon, Versatile P"	1d6 S	1			1	10 gp	0
Atlatl	Ranged	Simple	Dart	Propulsive	1d6 P	1	60 ft.	1	1	2 sp	0
Axe Musket	Ranged	Martial	Firearm	"Combination, Concussive, Fatal d10, Uncommon"	1d6 P	2	50 ft.	1	2	10 gp	1
Axe Musket	Melee	Martial	Axe	"Critical Fusion, Forceful, Sweep, Uncommon, Combination, Uncommon"	1d8 S	2			2	10 gp	1
Backpack Ballista	Ranged	Martial	Crossbow	Uncommon	1d12 P	1	180 ft.	1 minute	2	18 gp	1
Backpack Ballista Bolts	Ranged	Ammunition	Bow	Uncommon					L	1 sp (price for 10)	0
Backpack Catapult	Ranged	Advanced	Sling	"Uncommon, Volley 50 ft."	1d12 B	1	240 ft.	1 minute	3	20 gp	1
Backpack Catapult Stones	Ranged	Ammunition	Sling	Uncommon					1	1 sp (price for 10)	0
Barricade Buster	Ranged	Advanced	Firearm	"Kickback, Orc, Razing, Repeating, Uncommon, Volley 20 ft."	1d10 B	2	40 ft.	0	3	9 gp	1
Bastard Sword	Melee	Martial	Sword	Two-Hand 1d12	1d8 S	1			1	4 gp	0
Battle Axe	Melee	Martial	Axe	Sweep	1d8 S	1			1	1 gp	0
Battle Lute	Melee	Simple	Club	"Shove, Two-Hand 1d8, Uncommon"	1d4 B	1			1	15 gp	0
Battle Saddle	Melee	Martial	Axe	"Parry, Sweep, Vehicular"	1d8 S	2			2	6 gp	0
Bayonet	Melee	Martial	Knife	"Agile, Attached to crossbow or firearm, Finesse"	1d4 P	1 or 2			L	2 sp	0
Bec de Corbin	Melee	Martial	Polearm	"Razing, Reach, Shove, Versatile B"	1d8 P	2			2	4 gp	0
Big Boom Gun	Ranged	Martial	Firearm	"Cobbled, Fatal d12, Goblin, Modular B, P, or S, Uncommon"	1d6 modular	1	20 ft.	1	2	10 gp	1
Black Powder Knuckle Dusters	Ranged	Martial	Firearm	"Combination, Concussive, Fatal d8, Monk, Uncommon"	1d4 P	1	30 ft.	1	L	8 gp	0
Black Powder Knuckle Dusters	Melee	Martial	Brawling	"Agile, Critical Fusion, Monk, Uncommon, Combination, Uncommon"	1d4 B	1			L	8 gp	0
Bladed Diabolo	Melee	Advanced	Flail	"Backswing, Disarm, Finesse, Thrown 40 ft., Trip, Uncommon"	1d4 S	2			L	2 gp	0
Bladed Gauntlet	Melee	Martial	Brawling	"Agile, Finesse, Free-Hand, Modular B, P, or S, Uncommon"	1d4 modular	1			L	5 gp	0
Bladed Hoop	Melee	Advanced	Knife	"Finesse, Sweep, Two-Hand 1d8, Uncommon"	1d6 S	0			1	"2 gp, 5 sp"	0
Bladed Scarf	Melee	Martial	Flail	"Disarm, Finesse, Reach, Sweep, Trip, Uncommon"	1d6 S	2			1	3 gp	0
Blowgun	Ranged	Simple	Dart	"Agile, Nonlethal"	1 P	1	20 ft.	1	L	1 sp	0
Blowgun Darts	Ranged	Ammunition	Dart						L	5 cp (price for 10)	0
Blunderbuss	Ranged	Martial	Firearm	"Concussive, Scatter 10 ft., Uncommon"	1d8 P	2	40 ft.	1	2	8 gp	0
Bo Staff	Melee	Martial	Club	"Monk, Parry, Reach, Trip"	1d8 B	2			2	2 sp	0
Boarding Axe	Melee	Martial	Axe	"Agile, Azarketi, Climbing, Uncommon, Versatile P"	1d6 S	1			L	1 gp	0
Boarding Pike	Melee	Martial	Polearm	"Reach, Shove, Uncommon"	1d10 P	2			2	8 sp	1
Bola	Ranged	Martial	Sling	"Nonlethal, Ranged Trip, Thrown"	1d6 B	1	20 ft.		L	5 sp	0
Bolts	Ranged	Ammunition	Bow						L	1 sp (price for 10)	0
Bolts (Phalanx Piercer)	Ranged	Ammunition	Bow						L	1 sp (price for 5)	0
Boomerang	Ranged	Martial	Club	"Recovery, Thrown, Uncommon"	1d6 B	1	60 ft.		L	2 sp	0
Bow Staff	Ranged	Martial	Bow	"Combination, Deadly d8, Monk"	1d6 P	1	80 ft.	0	1	8 gp	0
Bow Staff	Melee	Martial	Club	"Finesse, Monk, Parry, Sweep, Combination"	1d6 B	2			1	8 gp	0
Breaching Pike	Melee	Martial	Spear	"Hobgoblin, Razing, Reach, Uncommon"	1d6 P	1			1	8 gp	0
Broadspear	Melee	Advanced	Spear	"Reach, Sweep, Versatile S"	1d10 P	2			2	2 gp	0
Butchering Axe	Melee	Advanced	Axe	"Orc, Shove, Sweep, Uncommon"	1d12 S	2			2	8 gp	0
Butterfly Sword	Melee	Advanced	Sword	"Agile, Concealable, Disarm, Finesse, Monk, Parry, Twin, Uncommon"	1d4 S	1			L	2 gp	0
Buugeng	Melee	Martial	Sword	"Agile, Conrasu, Sweep, Twin, Uncommon"	1d4 S	1			1	4 gp	0
Cane Pistol	Ranged	Martial	Firearm	"Combination, Concealable, Concussive, Fatal d8, Uncommon"	1d4 P	1	30 ft.	1	1	8 gp	0
Cane Pistol	Melee	Martial	Club	"Concealable, Critical Fusion, Thrown 10 ft., Uncommon, Combination, Uncommon"	1d6 B	1			1	8 gp	0
Chain Sword	Melee	Advanced	Sword	"Finesse, Reach, Sweep, Uncommon"	1d6 S	1			1	6 gp	0
Chakram	Ranged	Martial	Knife	Thrown	1d8 S	1	20 ft.		L	5 sp	0
Chakri	Ranged	Martial	Dart	"Recovery, Thrown, Uncommon"	1d6 S	1	40 ft.		L	2 sp	0
Clan Dagger	Melee	Simple	Knife	"Agile, Dwarf, Parry, Uncommon, Versatile B"	1d4 P	1			L	2 gp	0
Clan Pistol	Ranged	Martial	Firearm	"Concussive, Dwarf, Fatal d10, Uncommon"	1d6 P	1	80 ft.	1	L	5 gp	0
Claw Blade	Melee	Martial	Knife	"Agile, Catfolk, Deadly d8, Disarm, Finesse, Uncommon, Versatile P"	1d4 S	1			L	2 gp	0
Clockwork Macuahuitl	Melee	Advanced	Club	"Backswing, Clockwork, Forceful, Rare, Versatile B"	1d10 S	2			1	550 gp	8
Club	Melee	Simple	Club	Thrown 10 ft.	1d6 B	1			1		0
Coat Pistol	Ranged	Simple	Firearm	"Concealable, Concussive, Fatal d8, Uncommon"	1d4 P	1	30 ft.	1	L	6 gp	0
Combat Grapnel	Melee	Martial	Flail	"Finesse, Grapple, Tethered, Thrown 20 ft., Uncommon"	1d6 P	2			1	9 sp	1
Combat Lure	Melee	Martial	Flail	"Finesse, Tethered, Thrown 20 ft., Training, Uncommon"	1d6 B	2			1	2 gp	0
Composite Longbow	Ranged	Martial	Bow	"Deadly d10, Propulsive, Volley 30 ft."	1d8 P	1	100 ft.	0	2	20 gp	0
Composite Shortbow	Ranged	Martial	Bow	"Deadly d10, Propulsive"	1d6 P	1	60 ft.	0	1	14 gp	0
Corset Knife	Melee	Simple	Knife	"Agile, Concealable, Finesse, Thrown 10 ft."	1d4 P	1			L	3 sp	0
